,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
43,43,Panama,"337,087",,"5,756 ",,"321,439",,"9,892",195,"77,341","1,321"
44,44,Slovakia,"294,790","+1,998","6,671 ",+94,"255,300",,"32,819",665,"53,977","1,221"
45,45,Malaysia,"288,229","+2,468","1,076 ",+14,"256,678","+4,055","30,475",196,"8,832",33
46,46,Belarus,"280,428",+972,"1,930 ",+9,"270,289",+861,"8,209",,"29,683",204
47,47,Ecuador,"275,780",+812,"15,567 ",+20,"238,817",,"21,396",494,"15,480",874
48,48,Nepal,"273,666",+110,"2,065 ",+4,"270,068",+102,"1,533",,"9,285",70
49,49,Georgia,"268,995",+493,"3,457 ",+10,"262,796",+552,"2,742",,"67,515",868
50,50,Bolivia,"243,176",+884,"11,470 ",+29,"186,118",+963,"45,588",71,"20,651",974
51,51,Croatia,"240,360",+343,"5,462 ",+13,"232,697",+240,"2,201",67,"58,785","1,336"
52,52,Bulgaria,"238,591",,"9,933 ",,"201,029",,"27,629",334,"34,506","1,437"
53,53,Dominican Republic,"236,210",+328,"3,057 ",+9,"186,703",+739,"46,450",232,"21,635",280
54,54,Azerbaijan,"233,424",+223,"3,204 ",+2,"228,012",+176,"2,208",,"22,889",314
55,55,Tunisia,"229,781",+844,"7,843 ",+32,"190,155",+797,"31,783",273,"19,312",659
56,56,Ireland,"216,300",+557,"4,181 ",+44,"23,364",,"188,755",150,"43,492",841
57,57,Kazakhstan,"208,809",+692,"2,540 ",,"192,733",+994,"13,536",221,"11,036",134
58,58,Denmark,"208,556",+529,"2,343 ",,"200,263",+445,"5,950",48,"35,925",404
59,59,Costa Rica,"202,674",,"2,782 ",,"172,280",,"27,612",140,"39,553",543
60,60,Lithuania,"194,833",+482,"3,189 ",+7,"180,640","+1,016","11,004",153,"72,227","1,182"
61,61,Kuwait,"186,004","+1,015","1,057 ",+8,"174,088",+906,"10,859",146,"43,144",245
62,62,Slovenia,"185,912",+899,"3,792 ",+8,"170,527",+329,"11,593",107,"89,418","1,824"
63,63,Greece,"182,783","+2,111","6,343 ",+22,"162,551","+1,299","13,889",326,"17,592",610
64,64,Egypt,"178,774",,"10,404 ",,"138,183",,"30,187",90,"1,726",100
65,65,Moldova,"178,540","+1,133","3,823 ",+24,"163,376",+781,"11,341",292,"44,326",949
66,66,Palestine,"176,377","+1,408","1,994 ",+8,"162,757",+732,"11,626",92,"34,067",385
67,67,Guatemala,"172,072",+783,"6,315 ",+9,"159,206",+705,"6,551",5,"9,492",348
68,68,Armenia,"170,672",+166,"3,171 ",+4,"162,329",+231,"5,172",,"57,527","1,069"
69,69,Honduras,"165,737",+642,"4,024 ",+28,"64,781",+103,"96,932",445,"16,564",402
70,70,Qatar,"161,344",+455,257 ,,"151,225",+510,"9,862",88,"57,463",92
71,71,Ethiopia,"154,257",+716,"2,305 ",+12,"133,051","+1,338","18,901",364,"1,321",20
72,72,Paraguay,"152,658",,"3,080 ",,"127,819",,"21,759",242,"21,235",428
73,73,Nigeria,"152,616",,"1,862 ",,"129,300",,"21,454",10,729,9
74,74,Myanmar,"141,783",+22,"3,197 ",,"131,358",+40,"7,228",,"2,595",59
75,75,Oman,"139,989",+297,"1,557 ",+2,"131,143",+490,"7,289",64,"26,975",300
76,76,Venezuela,"136,545",,"1,320 ",,"128,579",,"6,646",117,"4,811",47
77,77,Libya,"130,701",+489,"2,125 ",+9,"117,017",+897,"11,559",,"18,856",307
78,78,Bosnia and Herzegovina,"129,176",+515,"5,034 ",+18,"113,688",+809,"10,454",,"39,533","1,541"
79,79,Bahrain,"119,205",+675,433 ,+4,"111,691",+864,"7,081",72,"68,541",249
80,80,Algeria,"112,094",,"2,964 ",,"77,225",,"31,905",19,"2,527",67
81,81,Kenya,"104,500",+194,"1,837 ",+10,"85,665",+39,"16,998",55,"1,916",34
82,82,Albania,"102,306","+1,021","1,696 ",+15,"65,403","+1,085","35,207",38,"35,575",590
83,83,North Macedonia,"99,917",+509,"3,085 ",+9,"90,096",+354,"6,736",131,"47,960","1,481"
84,84,S. Korea,"87,681",+357,"1,573 ",+11,"78,394",+507,"7,714",148,"1,709",31
85,85,Kyrgyzstan,"86,001",+72,"1,460 ",+2,"82,879",+76,"1,662",29,"13,044",221
86,86,Latvia,"82,462",+669,"1,570 ",+24,"71,506",+765,"9,386",79,"44,036",838
87,87,Sri Lanka,"81,009",+492,453 ,+3,"75,842",+732,"4,714",,"3,773",21
88,88,Ghana,"80,759",,582 ,,"73,365",,"6,812",123,"2,565",18
89,89,Uzbekistan,"79,717",+36,622 ,,"78,185",+14,910,153,"2,360",18
90,90,Zambia,"75,582",+555,"1,040 ",+9,"69,436",+508,"5,106",317,"4,039",56
91,91,Montenegro,"72,969",+574,969 ,+12,"63,738",+458,"8,262",68,"116,171","1,543"
92,92,Norway,"68,981",+223,608 ,,"63,783",,"4,590",20,"12,660",112
93,93,Singapore,"59,883",+4,29 ,,"59,753",+7,101,1,"10,184",5
94,94,Estonia,"59,407",+962,553 ,+13,"46,335",+983,"12,519",44,"44,764",417
95,95,El Salvador,"59,235",,"1,815 ",+8,"54,324",,"3,096",40,"9,103",279
96,96,Mozambique,"56,595",+435,606 ,+7,"37,570","+1,346","18,419",,"1,779",19
97,97,Afghanistan,"55,664",+18,"2,436 ",+1,"48,967",+72,"4,261","1,047","1,410",62
98,98,Finland,"54,532",+400,734 ,+1,"40,000",,"13,798",34,"9,832",132
99,99,Luxembourg,"54,354",+182,629 ,+1,"50,945",+14,"2,780",16,"85,932",994
100,100,Uruguay,"53,310",,583 ,,"46,845",,"5,882",68,"15,312",167
101,101,Cuba,"46,197",+836,304 ,+4,"40,979",+942,"4,914",61,"4,080",27
102,102,Uganda,"40,221",,333 ,,"14,608",,"25,280",,862,7
